kept_index,removed_index,similarity,kept_title,removed_title,kept_text,removed_text
492,4299,1.0,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,"KANSAS CITY, Mo. — Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs' Super Bowl rally, authorities said Friday, as the city tries to recover in the aftermath of the violence. A news release from the Jac...","KANSAS CITY, Mo. — Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs’ Super Bowl rally, authorities said Friday as the city tries to recover in the aftermath of the violence. A news release from the Jac..."
492,5436,1.0,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,"KANSAS CITY, Mo. — Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs' Super Bowl rally, authorities said Friday, as the city tries to recover in the aftermath of the violence. A news release from the Jac...","Kansas City, Mo. — Two juveniles were charged with crimes connected to the mass shooting at the Kansas City Chiefs’ Super Bowl rally, authorities said Friday, as the city tries to recover in the aftermath of the violence. A news release from the Jac..."
493,4302,1.0,Cops I.D. Person Fatally Shot Near Chiefs Victory Parade: What to Know,Police Identify Person Fatally Shot Near Kansas City Chiefs Super Bowl Victory Parade: Everything to Know,Kansas City Police Chief Stacey Graves offered the most exhaustive update Thursday some 24 hours after gunfire erupted in downtown Kansas City moments after the Chiefs’ Super Bowl Victory Parade came to a close. Graves said a total of 23 people were...,Kansas City Police Chief Stacey Graves offered the most exhaustive update Thursday some 24 hours after gunfire erupted in downtown Kansas City moments after the Chiefs' Super Bowl Victory Parade came to a close. Graves said a total of 23 people were...
495,6748,0.9504,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,"2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration Feb 20, 2024 | 2:17 PM KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two adults have been charged with murder in last week’s shooting t...","2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration Feb 20, 2024 | 12:17 PM KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two adults have been charged with murder in last week’s shooting ..."
501,4350,0.9884,La DJ muerta en desfile de los Chiefs de Kansas era de origen mexicano,La DJ muerta en desfile de los Chiefs de Kansas era de origen mexicano,"La DJ de origen mexicano Lisa López-Galván murió este miércoles luego de recibir un balazo durante el tiroteo que ocurrió en el desfile realizado para celebrar la victoria de los Chiefs de Kansas City en el Super Bowl LVIII, detalló la revista People...","La DJ de origen mexicano Lisa López-Galván murió este miércoles luego de recibir un balazo durante el tiroteo que ocurrió en el desfile realizado para celebrar la victoria de los Chiefs de Kansas City en el Super Bowl LVIII, detalló la revista Pe..."
501,7573,0.9913,La DJ muerta en desfile de los Chiefs de Kansas era de origen mexicano,Invade carril y choca contra auto sobre la carretera Torreón-San Pedro a la altura del ejido Hormiguero,"La DJ de origen mexicano Lisa López-Galván murió este miércoles luego de recibir un balazo durante el tiroteo que ocurrió en el desfile realizado para celebrar la victoria de los Chiefs de Kansas City en el Super Bowl LVIII, detalló la revista People...","Quien La DJ de origen mexicano Lisa López-Galván murió este miércoles luego de recibir un balazo durante el tiroteo que ocurrió en el desfile realizado para celebrar la victoria de los Chiefs de Kansas City en el Super Bowl LVIII, detalló la revista..."
502,3621,0.9929,Kansas City Chiefs fan seen in cuffs was not shooter: ‘I was just enjoying myself like everybody else’,Kansas City Chiefs fan seen in cuffs was not shooter: ‘I was just enjoying myself like everybody else’,A Kansas City Chiefs fan who was detained at the team’s Super Bowl victory parade has spoken out to clear his name after social media users wrongly identified him as one of the gunmen in the deadly shooting that broke out during the festivities – say...,A Kansas City Chiefs fan who was detained at the team’s Super Bowl victory parade has spoken out to clear his name after social media users wrongly identified him as one of the gunmen in the deadly shooting that broke out during the festivities: “I w...
503,3903,1.0,"Dispute may have led to the mass shooting after the Chiefs Super Bowl parade, police say","Shooting after Chiefs Super Bowl parade seemed to stem from dispute among several people, police say","KANSAS CITY, Mo. (AP) — The mass shooting that unfolded amid throngs of people at the Kansas City Chiefs’ Super Bowl celebration, killing one person and wounding almost two dozen others, appeared to stem from a dispute between several people, authori...","KANSAS CITY, Mo. (AP) — The mass shooting that unfolded amid throngs of people at the Kansas City Chiefs' Super Bowl celebration, killing one person and wounding almost two dozen others, appeared to stem from a dispute between several people, authori..."
514,5366,0.961,2 teens charged in deadly shooting at Kansas City Chiefs’ Super Bowl parade,2 teens charged in deadly shooting at Kansas City Chiefs’ Super Bowl parade,"Two juveniles have been charged in the shooting that left a woman dead and injured nearly two dozen others at the end of the Kansas City Chiefs’ Super Bowl victory parade earlier this week. The teenagers were charged Thursday, NBC News reported, cit...","Two juveniles have been charged in the shooting that left a woman dead and injured nearly two dozen others at the end of the Kansas City Chief’s Super Bowl victory parade earlier this week. The teenagers were charged Thursday, NBC News reported, cit..."
519,3995,0.9649,2 men charged with murder in Kansas City Chiefs rally shooting,2 men charged with murder in Kansas City rally shooting,"By Eric Levenson, CNN Two men were charged with murder and other felony charges for their roles in the mass shooting after a Kansas City Chiefs championship rally last week, Jackson County Prosecutor Jean Peters Baker said Tuesday. Lyndell Mays, of...","By Eric Levenson, CNN (CNN) — Two men were charged with murder and other felony charges for their roles in the mass shooting after a Kansas City Chiefs championship rally last week, Jackson County Prosecutor Jean Peters Baker said Tuesday. Lyndell ..."
531,7407,0.9815,Lisa Lopez-Galvan honored on ‘A Taste of Tejano’ Funeral Services Announced,"Lisa Lopez-Galvan Remembered on ‘A Taste of Tejano’, Funeral Services Announced – Tejano Nation","Photos courtesy of KKFI Lisa Lopez-Galvan, a beloved figure in the Tejano music community and co-host of “A Taste of Tejano” radio show, tragically lost her life in the Kansas City Super Bowl parade shooting. Known for her vibrant personality and de...","Photos courtesy of KKFI Lisa Lopez-Galvan, a beloved figure in the Tejano music community and co-host of “A Taste of Tejano” radio show, tragically lost her life in the Kansas City Super Bowl parade shooting. Known for her vibrant personality and dee..."
533,5932,0.9793,What it could take for the two juveniles charged in Kansas City parade shooting to be charged as adults,What it could take for the two juveniles charged in Kansas City parade shooting to be charged as adults,"COLUMBIA, Mo. (KMIZ) A lot of evidence will have to be processed to determine what it could take for the two juveniles charged in the Kansas City parade shooting to be charged as adults. On Friday, police revealed two juveniles were charged with cr...","COLUMBIA, Mo. (KMIZ) A lot of evidence will have to be processed to determine what it could take for the two juveniles charged in the Kansas City parade shooting to be charged as adults. On Friday, police revealed two juveniles were charged with c..."
539,717,1.0,Kansas City shooting: Police say dispute led to Super Bowl parade shooting,Kansas City shooting: Police say dispute led to Super Bowl parade shooting,"15 February 2024, 16:02 GMT Updated 6 minutes ago To play this content, please enable JavaScript, or try a different browser Video caption, Watch: Kansas City police praise city’s bravery after shooting Police in Kansas City say an argument between s...","15 February 2024, 16:02 GMT Updated 5 minutes ago To play this content, please enable JavaScript, or try a different browser Video caption, Watch: Kansas City police praise city’s bravery after shooting Police in Kansas City say an argument between s..."
540,5361,1.0,"Après la fusillade à la parole du Super Bowl à Kansas City, deux hommes inculpés pour meurtre",Tirs lors de la parade du Super Bowl: deux adultes inculpés de meurtre,"« Deux hommes de Kansas City font face à des chefs d’accusation de meurtre et d’autres crimes et délits en lien avec l’homicide et les tirs non létaux ayant eu lieu à l’extérieur de (la gare de) Union Station mercredi dernier », a annoncé le bureau d...","""Deux hommes de Kansas City font face à des chefs d'accusation de meurtre et d'autres crimes et délits en lien avec l'homicide et les tirs non létaux ayant eu lieu à l'extérieur de (la gare de) Union Station mercredi dernier"", a annoncé le bureau de ..."
541,3783,0.9815,"Taylor Swift gives $100,000 to the family of the woman killed in the Chiefs parade shooting","Taylor Swift gives $100,000 to the family of the woman killed in the Chiefs parade shooting","KANSAS CITY, Mo. — KANSAS CITY, Mo. (AP) â Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan, the woman killed in the shooting at the Kansas City Chiefs’ Super Bowl victory parade. Two $50,000 donations were posted Friday under the si...","KANSAS CITY, Mo. — KANSAS CITY, Mo. (AP) â€” Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan, the woman killed in the shooting at the Kansas City Chiefs’ Super Bowl victory parade. Two $50,000 donations were posted Friday under the ..."
542,4898,1.0,Prosecutors charge two men with murder after shooting at Kansas City Chiefs parade,Prosecutors charge two men with murder after shooting at Kansas City Chiefs parade,"Two adult men have been charged with reckless homicide for the shooting that ended the Kansas City Chiefs' celebrations after their Super Bowl victory. The Missouri Prosecutor's Office has filed charges this Tuesday against the two suspects, who are...","Two adult men have been charged with reckless homicide for the shooting that ended the Kansas City Chiefs’ celebrations after their Super Bowl victory. The Missouri Prosecutor’s Office has filed charges this Tuesday against the two suspects, who are ..."
546,2555,1.0,2 adults charged with murder in Kansas City Super Bowl parade shooting,2 Adults Charged with Murder in Shooting Spree at Kansas City Super Bowl Celebration — Charisma News,Missouri prosecutors said Tuesday that two men have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl parade. Both adults are charged with second-degree murder and ...,Missouri prosecutors said Tuesday that two men have been charged with murder in last week's shooting that killed one person and injured 22 others after the Kansas City Chiefs' Super Bowl parade. Both adults are charged with second-degree murder and ...
555,5253,0.966,"Patrick Mahomes y su esposa, Brittany, visitan en el hospital a dos niñas heridas en el tiroteo tras el desfile de los Chiefs",Patrick Mahomes y su esposa visitan en el hospital a dos niñas heridas en el tiroteo tras el desfile de los Chiefs,"El mariscal de campo y jugador más valioso del Super Bowl LVIII, Patrick Mahomes, y su esposa, Brittany Mahomes, visitaron en el hospital a dos niñas que resultaron heridas en el tiroteo que ocurrió minutos después del desfile de los Chiefs en Kansas...","El mariscal de campo y jugador más valioso del Super Bowl LVIII, Patrick Mahomes, y su esposa, Brittanyi Mahomes, visitaron en el hospital a dos niñas que resultaron heridas en el tiroteo que ocurrió minutos después del desfile de los Chiefs en Kansa..."
566,6133,0.9649,2 adultes sont accusés de meurtre lors de la fusillade meurtrière lors de la célébration du Super Bowl à Kansas City,Deux adultes accusés de meurtre lors de la fusillade du défilé des Chiefs,Les procureurs du Missouri ont déclaré mardi que deux adultes avaient été accusés de meurtre lors de la fusillade de la semaine dernière qui a tué une personne et en a blessé 22 autres après le défilé du Super Bowl des Chiefs de Kansas City. Les nouv...,"KANSAS CITY, Missouri — Les procureurs du Missouri ont déclaré mardi que deux adultes avaient été accusés de meurtre lors de la fusillade de la semaine dernière qui a tué une personne et en a blessé 22 autres après le défilé du Super Bowl des Chiefs ..."
568,6953,0.9813,Dua Dewasa Dituntut atas Pembunuhan dalam Kecelakaan Tembak-menembak yang Mematikan saat Perayaan Super Bowl Kansas City – INDONESIA NEWSWIRE,Dua Dewasa Dituntut atas Pembunuhan dalam Kecelakaan Tembak-menembak yang Mematikan saat Perayaan Super Bowl Kansas City – SOUTHEAST ASIA TRIBUNE,(SeaPRwire) – Jaksa Missouri mengatakan pada Selasa bahwa dua pria dituduh membunuh dalam penembakan yang mematikan di Kansas City yang menewaskan satu orang dan melukai 22 orang lainnya setelah . Kedua orang dewasa dituduh pembunuhan derajat kedua ...,Jaksa Missouri mengatakan pada Selasa bahwa dua pria dituduh membunuh dalam penembakan yang mematikan di Kansas City yang menewaskan satu orang dan melukai 22 orang lainnya setelah . Kedua orang dewasa dituduh pembunuhan derajat kedua dan tuduhan la...
574,6661,1.0,Κάνσας: Από τον θρίαμβο του Super Bowl στον τρόμο - Νεκρή μία DJ σε επίθεση στην παρέλαση (βίντεο),Κάνσας: Από τον θρίαμβο στον τρόμο - Ένας νεκρός και 21 τραυματίες σε «τυφλή» ένοπλη επίθεση (βίντεο),"Μια νεαρή κοπέλα νεκρή και πολλοί τραυματίες ο απολογισμός από το περιστατικό πυροβολισμών στο Κάνσας Σίτι. Ένα άτομο σκοτώθηκε και περισσότεροι από 20 άνθρωποι πυροβολήθηκαν στο Κάνσας Σίτι του Μιζούρι, μετά την πανηγυρική παρέλαση που έγινε στην π...","Μια νεαρή κοπέλα νεκρή και πολλοί τραυματίες ο απολογισμός από το περιστατικό πυροβολισμών στο Κάνσας Σίτι. Ένα άτομο σκοτώθηκε και περισσότεροι από 20 άνθρωποι πυροβολήθηκαν στο Κάνσας Σίτι του Μιζούρι, μετά την πανηγυρική παρέλαση που έγινε στην πό..."
575,4417,0.9897,"Snoop Dogg announces brother's death, Taylor Swift donates to family of woman killed at parade, and more celeb news","Snoop Dogg announces brother's death, Taylor Swift donates to family of woman killed at parade, and more celeb news",Snoop Dogg announces the death of his brother Bing Worthington Snoop Dogg's brother Bing Worthington has died aged 44. The 52-year-old rap star has taken to social media to announce his brother's passing and to pay tribute to him. Alongside throwb...,Snoop Dogg announces the death of his brother Bing Worthington Snoop Dogg's brother Bing Worthington has died aged 44. The 52-year-old rap star has taken to social media to announce his brother's passing and to pay tribute to him. Listen now and s...
593,617,0.9538,What's next after the Super Bowl parade shooting in Kansas City,Kansas City works to recover after mass shooting at Super Bowl celebration,"KANSAS CITY, Mo. - As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother o...","As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother of two was killed and..."
593,1041,1.0,What's next after the Super Bowl parade shooting in Kansas City,Kansas City tries to recover after mass shooting at Super Bowl celebration,"KANSAS CITY, Mo. - As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother o...","KANSAS CITY, Mo. — As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother of..."
593,3005,0.9785,What's next after the Super Bowl parade shooting in Kansas City,Kansas City tries to recover after mass shooting at Super Bowl celebration,"KANSAS CITY, Mo. - As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother o...","KANSAS CITY, Mo. — As Kansas City tries to recover from the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next to the two young people in custody. A mother of tw..."
593,4039,1.0,What's next after the Super Bowl parade shooting in Kansas City,What's next after the Super Bowl parade shooting in Kansas City,"KANSAS CITY, Mo. - As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother o...","KANSAS CITY, Mo. – As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother o..."
593,4134,0.9562,What's next after the Super Bowl parade shooting in Kansas City,Kansas City tries to recover after mass shooting at Super Bowl celebration,"KANSAS CITY, Mo. - As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother o...","KANSAS CITY, Mo. (AP)As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother ..."
593,4550,1.0,What's next after the Super Bowl parade shooting in Kansas City,Kansas City Tries To Recover After Mass Shooting At Super Bowl Celebration,"KANSAS CITY, Mo. - As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother o...","Kansas City, Mo.: As Kansas City tries to recover after the mass shooting that turned a Super Bowl celebration into chaos, police are working with juvenile prosecutors to determine what happens next with the two young people in custody. A mother of ..."
597,4300,1.0,Two men charged with murder over shooting at Kansas City Chiefs' Super Bowl celebrations,Two men charged with murder over shooting at Super Bowl victory celebrations,"Two men have been charged with murder in connection with a fatal shooting following the Kansas City Chiefs' Super Bowl victory parade. A woman was killed and 22 other people were injured in the 14 February shooting, in Kansas City, Missouri. Domini...","Two men have been charged with murder in connection with a fatal shooting following the Kansas City Chiefs’ Super Bowl victory parade. A woman was killed and 22 other people were injured in the 14 February shooting, in Kansas City, Missouri. Domini..."
614,4862,0.9711,"超级碗游行枪案两名嫌犯被控谋杀 称""只是犯傻""_无忧资讯","超级碗游行枪案两名嫌犯被控谋杀 称""只是犯傻"" | 美国要闻","2 men are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration — Teresa Masia Perales (@masia_perales) February 21, 2024 美国中文网综合报道 在上周堪萨斯城酋长队超级碗夺冠后的庆祝游行中发生了大规模 枪击事件,造成1人死亡,20多人受伤。检方周二表示,两名男子因涉嫌枪...","超级碗游行枪案两名嫌犯被控谋杀 称""只是犯傻"" 2 men are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration &mdash; Teresa Masia Perales (@masia_perales) February 21, 2024 美国中文网综合报道 在上周堪萨斯城酋长队超级碗夺冠后的庆祝游行中发生了大规模枪击事件,..."
625,1446,1.0,2 juveniles charged in mass shooting at the Kansas City Chiefs Super Bowl parade,Investigation Finds Preliminary Cause Of Shooting At Super Bowl Parade,"KANSAS CITY, MISSOURI - FEBRUARY 14: Law enforcement and medical personnel respond to a shooting at Union Station during the Kansas City Chiefs Super Bowl LVIII victory parade on February 14, 2024 in Kansas City, Missouri. Several people were shot an...","KANSAS CITY, MISSOURI – FEBRUARY 14: Law enforcement and medical personnel respond to a shooting at Union Station during the Kansas City Chiefs Super Bowl LVIII victory parade on February 14, 2024 in Kansas City, Missouri. Several people were shot an..."
629,3073,1.0,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,2 adults are charged with murder in the deadly shooting at Kansas City's Super Bowl celebration,"By NICK INGRAM (Associated Press) KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two adults have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl p...","By NICK INGRAM - Associated Press KANSAS CITY, Mo. (AP) — Missouri prosecutors said Tuesday that two adults have been charged with murder in last week’s shooting that killed one person and injured 22 others after the Kansas City Chiefs’ Super Bowl p..."
634,4072,0.9507,Broncos Mailbag: What Are The Chances Of A Russell Wilson-sean Payton Reunion In 2024?,2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration,"2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebrationBy NICK INGRAM and MARGERY A. BECK (Associated Press) KANSAS CITY, Mo. (AP) — Two men have been charged with murder in last week’s shooting that killed one...","2 adults are charged with murder in the deadly shooting at Kansas City’s Super Bowl celebration By NICK INGRAM and MARGERY A. BECK Associated Press KANSAS CITY, Mo. (AP) — Two men have been charged with murder in last week’s shooting that killed on..."
636,1107,0.9725,"Kansas City Parade: 2 Teen Boys Arrested For Shooting During Chiefs Super Bowl Celebration, Set To B","Kansas City Parade: 2 Teen Boys Arrested For Shooting During Chiefs Super Bowl Celebration, Set To Be Tried As Juveniles",Source: Jamie Squire / Getty The Kansas City Chiefs Super Bowl Championship parade was upended yesterday by chaos and bloodshed after a total of 23 people were injured with gunshot wounds after a barrage of bullets broke the air outside of Union S...,Source: Jamie Squire / Getty The Kansas City Chiefs Super Bowl Championship parade was upended yesterday by chaos and bloodshed after a total of 23 people were injured with gunshot wounds after a barrage of bullets broke the air outside of Union Sta...
636,7938,0.9523,"Kansas City Parade: 2 Teen Boys Arrested For Shooting During Chiefs Super Bowl Celebration, Set To B","Kansas City Parade: 2 Teen Boys Arrested For Shooting During Chiefs Super Bowl Celebration, Set To B",Source: Jamie Squire / Getty The Kansas City Chiefs Super Bowl Championship parade was upended yesterday by chaos and bloodshed after a total of 23 people were injured with gunshot wounds after a barrage of bullets broke the air outside of Union S...,Source: Jamie Squire / Getty The Kansas City Chiefs Super Bowl Championship parade was upended Wednesday by chaos and bloodshed after a total of 23 people were injured with gunshot wounds after a barrage of bullets broke the air outside of Union S...
637,7523,1.0,One dead as 22 shot near end of Chiefs’ victory parade,One dead as 22 shot near end of Chiefs' victory parade,"Feb 14, 2024, 03:40 PM ET KANSAS CITY, Mo. — One person is dead, and 21 others were wounded by gunfire at the end of the Chiefs‘ Super Bowl parade Wednesday, according to authorities. Three people have been detained and are under investigation, Kan...","Feb 14, 2024, 03:40 PM ET KANSAS CITY, Mo. — One person is dead, and 21 others were wounded by gunfire at the end of the Chiefs’ Super Bowl parade Wednesday, according to authorities. Three people have been detained and are under investigation, Kan..."
639,2574,1.0,What's the latest in the investigation of the shooting at the Kansas City Chiefs' Super Bowl parade?,One man charged in Super Bowl parade shooting recently came off probation,"KANSAS CITY, Mo. (AP) — One of the men charged in a Kansas City Chiefs Super Bowl victory celebration shooting that left one person dead and around two dozen others injured had recently come off probation for pulling out a gun during a dispute over ...","KANSAS CITY, Mo. (AP) — One of the men charged in a Kansas City Chiefs Super Bowl victory celebration shooting that left one person dead and around two dozen others injured had recently come off probation for pulling out a gun during a dispute over a..."
643,2040,0.9643,At Least 1 Person Killed in Shooting at Chiefs Super Bowl Celebration,At Least 1 Person Killed in Shooting at Chiefs,"At Least 1 Person Killed in Shooting , at Chiefs Super Bowl Celebration. Up to 22 people were shot leaving a rally for the Chiefs' Super Bowl win on Feb. 14, NBC News reports. . Up to 22 people were shot leaving a rally for the Chiefs' Super Bowl win...","At Least 1 Person Killed in Shooting , at Chiefs Super Bowl Celebration. Up to 22 people were shot leaving a rally for the Chiefs' Super Bowl win on Feb. 14, NBC News reports. Up to 22 people were shot leaving a rally for the Chiefs' Super Bowl wi..."
650,3584,1.0,Two juveniles charged in Chiefs' celebration shootings,NFL News: Two juveniles charged in Chiefs' celebration shootings,"Two juveniles have been charged in connection to the shootings at the Kansas City Chiefs' Super Bowl celebration, the Jackson County Family Court announced Friday. The Court said the juveniles were charged Thursday on gun-related and resisting arres...","Two juveniles have been charged in connection to the shootings at the Kansas City Chiefs’ Super Bowl celebration, the Jackson County Family Court announced Friday. The Court said the juveniles were charged Thursday on gun-related and resisting arres..."
652,3084,1.0,Taylor Swift dona 100 mil dólares a familia de la mexicana que murió en Kansas,Dona Taylor Swift 100 mil dÃ³lares,"Taylor Swift sorprendió a la familia de Lisa López-Galván , la DJ de radio de origen mexicano que murió en el tiroteo masivo ocurrido en el desfile de celebración del equipo de fútbol americano Kansas City Chiefs. La cantante les donó 100 mil dólares...","Taylor Swift sorprendió a la familia de Lisa López-Galván, la DJ de radio de origen mexicano que murió en el tiroteo masivo ocurrido en el desfile de celebración del equipo de fútbol americano Kansas City Chiefs. La cantante les donó 100 mil dólares ..."
652,7258,1.0,Taylor Swift dona 100 mil dólares a familia de la mexicana que murió en Kansas,Taylor Swift dona 100 mil dólares a familia de la mexicana que murió en Kansas,"Taylor Swift sorprendió a la familia de Lisa López-Galván , la DJ de radio de origen mexicano que murió en el tiroteo masivo ocurrido en el desfile de celebración del equipo de fútbol americano Kansas City Chiefs. La cantante les donó 100 mil dólares...","Taylor Swift sorprendió a la familia de Lisa López-Galván, la DJ de radio de origen mexicano que murió en el tiroteo masivo ocurrido en el desfile de celebración del equipo de fútbol americano Kansas City Chiefs. La cantante les donó 100 mil dólares..."
654,1319,1.0,Two juveniles charged in Kansas City Super Bowl rally shooting,Two juveniles charged in Kansas City Super Bowl rally shooting,"By Brad Brooks and Brendan O’Brien (Reuters) -Two teenagers have been charged as juveniles in connection with the shooting that killed one person and wounded 22 others in Kansas City, Missouri, near a Super Bowl victory rally for the city’s NFL cham...","By Brad Brooks and Brendan O'Brien (Reuters) -Two teenagers have been charged as juveniles in connection with the shooting that killed one person and wounded 22 others in Kansas City, Missouri, near a Super Bowl victory rally for the city's NFL cham..."
656,3624,0.987,T. Swift gives $100K to shooting victim’s family,Taylor Swift gives $100K to family of woman killed at Chiefs' parade - ESPN,"Associated Press Feb 16, 2024, 11:26 AM ET KANSAS CITY, Mo. — Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan, the woman killed in the shooting at the Kansas City Chiefs’ Super Bowl victory parade. Two $50,000 donations were poste...","Associated Press Feb 16, 2024, 11:26 AM ET KANSAS CITY, Mo. -- Taylor Swift donated $100,000 to the family of Lisa Lopez-Galvan, the woman killed in the shooting at the Kansas City Chiefs' Super Bowl victory parade. Two $50,000 donations were post..."
658,1249,1.0,"Gunfire at Chiefs' Super Bowl celebration kills 1 and wounds nearly two dozen, including children","Gunfire at Chiefs' Super Bowl celebration kills 1 and wounds 21, including children","KANSAS CITY, Mo. (AP) — A historic railway station on the edge of downtown Kansas City became the latest backdrop for a mass shooting as gunfire near the end of the Kansas City Chiefs' sent terrified fans scrambling for cover and left 21 people wound...","KANSAS CITY, Mo. (AP) — A historic railway station on the edge of downtown Kansas City became the latest backdrop for a mass shooting as gunfire near the end of the Kansas City Chiefs’ sent terrified fans scrambling for cover and left 21 people wound..."
659,6987,0.9717,"5 things to know for Feb. 21: Presidential race, Super Bowl rally, Russian spies, Middle East, Frozen embryos – KION546","5 things to know for Feb. 21: Presidential race, Super Bowl rally, Russian spies, Middle East, Frozen embryos","By Alexandra Banner, CNN Traffic is one of the biggest sources of carbon pollution in the US, as big cities often earn failing grades for air quality. However, a new report from the American Lung Association says millions of children’s lives would b...","CNN By Alexandra Banner, CNN Traffic is one of the biggest sources of carbon pollution in the US, as big cities often earn failing grades for air quality. However, a new report from the American Lung Association says millions of children’s lives wo..."
662,4444,0.9722,"Kansas City Chiefs Super Bowl parade shooting: Dominic Miller, Lyndell Mays charged with murder","Dominic Miller, Lyndell Mays charged with murder in Kansas City Chiefs Super Bowl parade shooting","Two adults were charged with murder Tuesday over the terrifying shooting at the Kansas City Chiefs Super Bowl parade that left one dead and 22 others hospitalized, prosecutors said. Dominic Miller, 18, and Lyndell Mays, 23, both face charges of secon...","Two adults were charged with murder Tuesday over the terrifying shooting at the Kansas City Chiefs Super Bowl parade that left one dead and 22 others hospitalized, prosecutors said. Dominic Miller, 18, and Lyndell Mays, 23, both face charges of seco..."
664,4854,1.0,Tremendous Bowl celebration capturing: Issues to know,Things to know about the shooting at the Kansas City Chiefs' Super Bowl celebration,"Kansas City, Mo. – Members of the Kansas City community are expected to gather Saturday afternoon to “demand a future free from gun violence” a day after authorities announced that two juveniles had been detained on gun-related and resisting arrest ...","Kansas City, Mo. - Members of the Kansas City community are expected to gather Saturday afternoon to “demand a future free from gun violence” a day after authorities announced that two juveniles had been detained on gun-related and resisting arrest ..."
666,7388,1.0,2 adults charged with murder in Kansas City parade shooting,2 adults charged with murder in Kansas City parade shooting,"Two adults have been charged with murder in the deadly shooting that occurred at Kansas City's Super Bowl celebration last Wednesday, according to the prosecutor. Lyndell Mays and Dominic Miller now each face charges of second-degree murder, two cou...","Two adults have been charged with murder in the deadly shooting that occurred at Kansas City’s Super Bowl celebration last Wednesday, according to the prosecutor. Lyndell Mays and Dominic Miller now each face charges of second-degree murder, two cou..."
668,3312,0.9567,Taylor Swift donates 100K to Chiefs parade shooting victim’s family – CBS 42,Taylor Swift donates $100K to Chiefs parade shooting victim’s family – who13.com,"Taylor Swift donates 100K to Chiefs parade shooting victim's family Toggle header content News Taylor Swift made two donations to the GoFundMe for Lisa Lopez-Galvan, the victim who died in the shooting at the end of the Chiefs parade and rally,.","Taylor Swift donates $100K to Chiefs parade shooting victim's family Toggle header content Taylor Swift made two donations to the GoFundMe for Lisa Lopez-Galvan, the victim who died in the shooting at the end of the Chiefs parade and rally,."
